Ho,EP,EN,Year,Type,IT,,,,
56,3,-3,1996.554,SS,Saha,,,,
73,7,-7,1996.58,2,Eastman,,,,
69,8,-8,1996.667,A,Amendola A&A 312,,,,
72,10,-12,1996.68,G,Forbes,,,,
57,5,-5,1996.78,S,Branch,,,,
63,12,-12,1996.84,L,Kundic,,,,
51,14,-13,1996.89,L,Keeton and Kochanek,,,,
58,9,-9,1996.91,O,Sofue \etal 191996,,,,
55,5,-5,1996.92,SS,Sandage,,,,
73,10,-10,1996.92,AK,Freedman. W. 1997,,,,
63,3,-3,1996.92,S,Hamuy,,,,
65,8,-8,1996.93,GK,Forbes,,,,
55,10,-10,1996.93,AS,Tammann,,,,
72,6,-9,1996.94,AV,Van den Bergh,,,,
70,10,-10,1996.95,Z,Kobayashi \etal PASJ 48,,,,
98,12,-11,1996.96,L,Grogin,,,,
72,12,-12,1996.97,H,Malhotra,,,,
58,7,-8,1996.98,SS,Saha,,,,
55,10,-10,1997,AS,Sandage \& Tammann 1997,,,,
93,12,-10,1997.01,O,Chiba,,,,
70,7,-7,1997.02,D,Hjorth & Tanvir,,,,
67,8,-8,1997.02,D,Hjorth & Tanvir 1997,,,,
68,6,-6,1997.03,G,Baum,,,,
73,8,-8,1997.04,TK,Madore \etal Fornax  BAAS 28 1420,,,,
67,9,-9,1997.05,S,Hoeflich,,,,
64,20,-22,1997.06,L,Schechter,,,,
81,6,-6,1997.08,F,Tonry,,,,
80,8,-9,1997.09,SV,vandenBergh,,,,
74,5,-5,1997.1,S,Ellis,,,,
82,10,-10,1997.11,B,Yasuda,,,,
68,8,-8,1997.13,T,Shanks,,,,
62,7,-7,1997.137,L,Falco,,,,
92,12,-12,1997.15,O,Bizyaev,,,,
69,5,-5,1997.17,R,Giovanelli,,,,
75,6,-6,1997.18,D,Gregg,,,,
69,8,-8,1997.19,A,Kochanek,,,,
74,14,-14,1997.21,rK,Sakai,,,,
68,3,-3,1997.225,SI,Kirshner,,,,
70,10,-10,1997.23,AK,Freedman,,,,
67,3,-3,1997.235,CI,Bond,,,,
65,10,-10,1997.24,LI,Narayan,,,,
60,10,-10,1997.245,ZI,Carlstrom,,,,
58,10,-5,1997.25,A,Hoyle,,,,
65,16,-16,1997.306,L,Oscoz,,,,
52,6,-6,1997.333,O,Goodwin,,,,
78,60,-40,1997.36,Z,Holzapfel,,,,
52,14,-14,1997.368,L,Kundic \etal Astroph9704109,,,,
53,10,-7,1997.371,L,Courbin \etal A&A in press. Astroph9705093. PG1115+080 Lens,,,,
66,5,-5,1997.376,S,Wheeler,,,,
71,11,-11,1997.384,F,Thomsen,,,,
55,5,-5,1997.4,B,Theureau,,,,
44,7,-7,1997.41,Z,Rephaeli,,,,
60,2,-2,1997.42,O,Witasse,,,,
70,10,-10,1997.436,TK,Freedman 1997,,,,
54,14,-14,1997.22,Z,Myers,,,,
53,5,-5,1997.5,B,Theureau,,,,
57,5,-5,1997.5,B,Theureau,,,,
50,20,-20,1997.625,C,Hancock \etal Astroph9708254,,,,
89,10,-10,1997.659,F,Lauer \etal 1998,,,,
82,8,-8,1997.661,F,Lauer \etal 1998,,,,
53,3,-3,1997.667,O,Sciama 1997,,,,
66,12,-12,1997.7,S,Iwamoto,,,,
61,9,-9,1997.689,L,Williams & Schechter Astroph9709059 Lensing,,,,
56,7,-7,1997.75,SS,Sandage & Tammann,,,,
57,5,-5,1997.8,B,Theureau,,,,
50,3,-3,1997.944,S,Lanoix,,,,
65,10,-10,1997.958,S,Hendry,,,,
60,10,-10,1998.021,S,Branch 1998,,,,
47,23,-15,1998.051,Z,Hughes & Birkinshaw 1998,,,,
65,20,-14,1998.074,B,Watanabe,,,,
66,15,-14,1998.081,L,Goicoechea,,,,
82,16,-16,1998.092,R,Tully,,,,
30,18,-7,1998.1,CM,Lineweaver,,,,
47,6,-6,1998.113,CM,Webster,,,,
42,12,-9,1998.14,Z,Grainge,,,,
62,7,-7,1998.16,L,Wambsganss,,,,
72,12,-12,1998.2,TK,Madore \etal 1998,,,,
58,11,-11,1998.158,CM,Lineweaver,,,,
57,7,-7,1998.169,BS,Federspiel,,,,
60,11,-11,1998.194,O,Salaris \& Cassisi MNRAS 298,,,,
56,3,-3,1998.2,B,Theureau,,,,
51,4,-4,1998.2,B,Theureau,,,,
57,8,-8,1998.212,O,Narasimha & Mazumdar Astroph9803195 Ceph to M100 + Virgo z,,,,
58,19,-18,1998.214,L,Impey \etal Astroph9803207  Lens PG1115+080,,,,
70,10,-10,1998.22,Z,Cen,,,,
57,7,-7,1998.223,AS,Tammann,,,,
74,8,-7,1998.231,L,Chartas \etal Astroph9803285  0957 x-ray mass  q=0 assumed,,,,
60,6,-6,1998.25,S,Tripp R. 1998,,,,
57,7,-7,1998.344,AS,Tammann,,,,
62,6,-6,1998.345,G,Della Valle,,,,
61,13,-15,1998.9,L,Romanowsky \& Kochanek 1998,,,,
68,5,-5,1998.37,A,Nevalainen & Roos,,,,
79,7,-7,1998.382,A,Luri,,,,
61,5,-5,1998.406,O,Baum,,,,
77,8,-8,1998.444,O,Harris,,,,
55,10,-10,1998.5,L,Fassnacht,,,,
65,3,-3,1998.55,S,Suntzeff,,,,
87,11,-11,1998.6,F,Jensen,,,,
55,8,-8,1998.621,S,Schaefer,,,,
49,29,-29,1998.632,Z,Cooray,,,,
79,12,-12,1998.667,D,Pierce,,,,
